complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Category set to Flooding from 'flooded', 'underpass', 'ambulance', 'lives at risk'. Priority is Urgent because of 'ambulance', 'lives at risk'.",
GH-202402,Drain Blockage,Standard,Category set to Drain Blockage from 'drain completely blocked'. Priority is Standard because no severity trigger was found.,
GH-202406,Drain Blockage,Standard,"Category set to Drain Blockage from 'stormwater drain', 'drain 100% blocked', 'blocked with construction debris'. Priority is Standard because no severity trigger was found.",
GH-202407,Drain Blockage,Standard,Category set to Drain Blockage from 'drain blocked'. Priority is Standard because no severity trigger was found.,
GH-202410,Pothole,Standard,Category set to Pothole from 'potholes'. Priority is Standard because no severity trigger was found.,
GH-202411,Pothole,Urgent,"Category set to Pothole from 'pothole', 'motorcycle wheel', 'hospitalised'. Priority is Urgent because of 'hospitalised'.",
GH-202412,Pothole,Urgent,"Category set to Pothole from 'potholes', 'school'. Priority is Urgent because of 'school'.",
GH-202417,Waste,Standard,"Category set to Waste from 'waste', 'garbage', 'overflow'. Priority is Standard because no severity trigger was found.",
GH-202420,Noise,Standard,Category set to Noise from 'drilling'. Priority is Standard because no severity trigger was found.,
GH-202422,Road Damage,Urgent,"Category set to Road Damage from 'road collapsed', 'collapsed', 'crater'. Priority is Urgent because of 'collapsed'.",
GH-202424,Flooding,Standard,"Category set to Flooding from 'floods', 'underpass'. Priority is Standard because no severity trigger was found.",
GH-202428,Waste,Standard,"Category set to Waste from 'waste', 'not cleared'. Priority is Standard because no severity trigger was found.",
GH-202432,Noise,Standard,"Category set to Noise from 'idling', 'engines on'. Priority is Standard because no severity trigger was found.",
GH-202448,Drain Blockage,Standard,"Category set to Drain Blockage from 'main drain blocked', 'drain blocked'. Priority is Standard because no severity trigger was found.",
GH-202438,Flooding,Standard,Category set to Flooding from 'rainwater'. Priority is Standard because no severity trigger was found.,
